BasinID,UT,CT,BA,BWS,WSV,SV,RO
71,3416,576.0178833,12612048.07,0.000270852,1.312110754,0.398895606,12867877.85
72,10803,1864.773926,22061430.65,0.000489678,1.093612859,0.412599185,22464039.45
73,9969,1720.411621,13074348.09,0.000762485,1.252478491,0.452180209,13328176.2
74,70108,8961.90332,83776608.9,0.000836845,1.059797363,0.331420059,85525132.37
75,254676,33986.26172,52001027.05,0.004897519,0.982692502,0.787594448,53012451.36
76,445608,271140.5313,17668191.14,0.025220918,1.052107581,0.600941596,17984684.83
77,87992960,56564112,216112181,0.407163352,1.037357451,0.446012383,220063950.1
78,158598896,102082856,219208752.1,0.723506222,1.100461273,0.540233203,222728589.9
79,96025280,61602684,127616756.5,0.752450404,1.251287794,0.477814897,129726839
80,9473,1258.305298,33105121.2,0.000286149,1.133106631,0.458845007,33670614.08
